,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
6,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,SET,2,17,11833,0
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SET,2,17,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SET,2,17,11833,0
9,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,SET,2,17,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SET,2,17,11833,0
11,15,Kanthong Malika ,O,0,0,0,0,,THA,SET,2,17,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,SET,2,17,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SET,2,17,11833,0
0,13,Tomkom Nootsara ,S,4,1,28,33,9.09,THA,SET,3,16,11833,0
1,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SET,3,16,11833,0
2,3,ManaKij Sirima ,S,0,0,4,4,0.00,THA,SET,3,16,11833,0
3,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,SET,3,16,11833,0
4,6,Sittirak Onuma ,OH,0,0,0,0,,THA,SET,3,16,11833,0
5,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SET,3,16,11833,0
6,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,SET,3,16,11833,0
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SET,3,16,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SET,3,16,11833,0
9,12,Chaisri Tapaphaipun ,L,0,0,1,1,0.00,THA,SET,3,16,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SET,3,16,11833,0
11,15,Kanthong Malika ,O,0,0,0,0,,THA,SET,3,16,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,SET,3,16,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SET,3,16,11833,0
0,11,Yao Di ,S,10,1,104,115,7.83,CHN,SET,0,0,11834,
1,3,Diao Linyu ,S,0,0,12,12,0.00,CHN,SET,0,0,11834,
2,4,Yang Hanyu ,MB,0,0,2,2,0.00,CHN,SET,0,0,11834,
3,5,Gao Yi ,MB,0,0,0,0,,CHN,SET,0,0,11834,
4,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,SET,0,0,11834,
5,8,Li Yao ,OH,0,0,1,1,0.00,CHN,SET,0,0,11834,
6,9,Zhang Changning (C),OH,0,0,1,1,0.00,CHN,SET,0,0,11834,
7,10,Liu Xiaotong ,OH,0,0,0,0,,CHN,SET,0,0,11834,
8,14,Zheng Yixin ,O,0,0,0,0,,CHN,SET,0,0,11834,
9,15,Lin Li ,L,0,0,3,3,0.00,CHN,SET,0,0,11834,
10,18,Wang Mengjie ,L,0,0,0,0,,CHN,SET,0,0,11834,
11,19,Liu Yanhan ,OH,0,0,1,1,0.00,CHN,SET,0,0,11834,
12,22,Duan Fang ,OH,0,0,0,0,,CHN,SET,0,0,11834,
0,11,Yao Di ,S,1,0,35,36,2.78,CHN,SET,1,23,11834,0
1,3,Diao Linyu ,S,0,0,8,8,0.00,CHN,SET,1,23,11834,0
2,4,Yang Hanyu ,MB,0,0,0,0,,CHN,SET,1,23,11834,0
3,5,Gao Yi ,MB,0,0,0,0,,CHN,SET,1,23,11834,0
4,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,SET,1,23,11834,0
5,8,Li Yao ,OH,0,0,0,0,,CHN,SET,1,23,11834,0
6,9,Zhang Changning (C),OH,0,0,0,0,,CHN,SET,1,23,11834,0
