,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,2,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,2,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,2,2,0.00,SRB,SERVE,2,25,11831,1
0,2,Lazovic Katarina (C),OH,2,1,4,7,14.29,SRB,SERVE,3,23,11831,0
1,22,Lozo Sara ,O,1,1,1,3,0.00,SRB,SERVE,3,23,11831,0
2,24,Medic Sofija ,MB,1,0,2,3,33.33,SRB,SERVE,3,23,11831,0
3,3,Caric Sara ,O,0,0,3,3,0.00,SRB,SERVE,3,23,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,3,23,11831,0
5,7,Jaksic Ana ,S,0,0,2,2,0.00,SRB,SERVE,3,23,11831,0
6,21,Kocic Jovana ,MB,0,1,3,4,-25.00,SRB,SERVE,3,23,11831,0
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,SERVE,3,23,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,3,23,11831,0
9,26,Savic Vanja ,O,0,0,1,1,0.00,SRB,SERVE,3,23,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,3,23,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,3,23,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,3,23,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,1,1,0.00,SRB,SERVE,3,23,11831,0
0,2,Lazovic Katarina (C),OH,0,0,4,4,0.00,SRB,SERVE,4,25,11831,1
1,3,Caric Sara ,O,0,1,1,2,-50.00,SRB,SERVE,4,25,11831,1
2,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,4,25,11831,1
3,7,Jaksic Ana ,S,0,0,8,8,0.00,SRB,SERVE,4,25,11831,1
4,21,Kocic Jovana ,MB,0,1,3,4,-25.00,SRB,SERVE,4,25,11831,1
5,22,Lozo Sara ,O,0,0,4,4,0.00,SRB,SERVE,4,25,11831,1
6,23,Djordjevic Mila ,S,0,0,0,0,,SRB,SERVE,4,25,11831,1
7,24,Medic Sofija ,MB,0,0,2,2,0.00,SRB,SERVE,4,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,4,25,11831,1
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SERVE,4,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,4,25,11831,1
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,4,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,4,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SERVE,4,25,11831,1
0,2,Lazovic Katarina (C),OH,0,1,3,4,-25.00,SRB,SERVE,5,14,11831,0
1,3,Caric Sara ,O,0,1,1,2,-50.00,SRB,SERVE,5,14,11831,0
2,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,5,14,11831,0
3,7,Jaksic Ana ,S,0,0,2,2,0.00,SRB,SERVE,5,14,11831,0
4,21,Kocic Jovana ,MB,0,1,1,2,-50.00,SRB,SERVE,5,14,11831,0
5,22,Lozo Sara ,O,0,0,2,2,0.00,SRB,SERVE,5,14,11831,0
6,23,Djordjevic Mila ,S,0,0,0,0,,SRB,SERVE,5,14,11831,0
7,24,Medic Sofija ,MB,0,1,1,2,-50.00,SRB,SERVE,5,14,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,5,14,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SERVE,5,14,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,5,14,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,5,14,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,5,14,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,1,1,0.00,SRB,SERVE,5,14,11831,0
0,2,Nishida Sarina ,OH,2,1,11,14,7.14,JPN,SERVE,0,0,11833,
