,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
7,10,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,2,25,13755,1
8,11,Drews Andrea ,O,0,0,0,0,,USA,BLOCK,2,25,13755,1
9,12,Thompson Jordan ,O,0,0,1,1,0.00,USA,BLOCK,2,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,2,25,13755,1
11,19,Gray Jenna ,S,0,0,0,0,,USA,BLOCK,2,25,13755,1
12,22,White Kendall ,L,0,0,0,0,,USA,BLOCK,2,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,2,25,13755,1
0,13,Wilhite Sarah ,OH,1,1,0,2,0.00,USA,BLOCK,3,25,13755,1
1,30,Frantti Alexandra ,OH,1,0,1,2,50.00,USA,BLOCK,3,25,13755,1
2,5,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,3,25,13755,1
3,6,Dixon Tetori (C),MB,0,0,3,3,0.00,USA,BLOCK,3,25,13755,1
4,7,Carlini Lauren ,S,0,0,0,0,,USA,BLOCK,3,25,13755,1
5,9,Rishel Madison Kingdon ,OH,0,0,0,0,,USA,BLOCK,3,25,13755,1
6,10,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,3,25,13755,1
7,11,Drews Andrea ,O,0,0,0,0,,USA,BLOCK,3,25,13755,1
8,12,Thompson Jordan ,O,0,3,2,5,-60.00,USA,BLOCK,3,25,13755,1
9,16,Rettke Dana ,MB,0,0,0,0,,USA,BLOCK,3,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,3,25,13755,1
11,19,Gray Jenna ,S,0,0,0,0,,USA,BLOCK,3,25,13755,1
12,22,White Kendall ,L,0,0,0,0,,USA,BLOCK,3,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,3,25,13755,1
0,21,Martinez Jineiry ,MB,3,0,2,5,60.00,DOM,BLOCK,0,0,13755,
1,24,Gonzalez Geraldine Sthefany ,MB,2,4,2,8,-25.00,DOM,BLOCK,0,0,13755,
2,3,Rabit Esthefany ,L,1,1,0,2,0.00,DOM,BLOCK,0,0,13755,
3,4,Peralta Luna Vielka Michelle ,OH,1,2,0,3,-33.33,DOM,BLOCK,0,0,13755,
4,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,DOM,BLOCK,0,0,13755,
5,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,DOM,BLOCK,0,0,13755,
6,7,Marte Frica Niverka Dharlenis (C),S,0,0,1,1,0.00,DOM,BLOCK,0,0,13755,
7,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,DOM,BLOCK,0,0,13755,
