Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
4,10,van Aalen Sarah ,S,0,0,2,2,0.0,NED,SERVE,3,25,16024,1.0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SERVE,3,25,16024,1.0
6,14,Dijkema Laura (C),S,0,0,1,1,0.0,NED,SERVE,3,25,16024,1.0
7,16,Baijens Indy ,MB,0,0,3,3,0.0,NED,SERVE,3,25,16024,1.0
8,17,Vos Iris ,OH,0,0,0,0,,NED,SERVE,3,25,16024,1.0
9,21,Stuut Britte ,MB,0,0,0,0,,NED,SERVE,3,25,16024,1.0
10,23,Timmerman Eline ,MB,0,1,3,4,-25.0,NED,SERVE,3,25,16024,1.0
11,24,Mulder Vera ,OH,0,1,1,2,-50.0,NED,SERVE,3,25,16024,1.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,SERVE,3,25,16024,1.0
13,26,Dambrink Elles ,O,0,1,0,1,-100.0,NED,SERVE,3,25,16024,1.0
0,23,Timmerman Eline ,MB,1,1,1,3,0.0,NED,SERVE,4,22,16024,0.0
1,33,Marring Nova ,OH,1,1,4,6,0.0,NED,SERVE,4,22,16024,0.0
2,1,Knip Kirsten ,L,0,0,0,0,,NED,SERVE,4,22,16024,0.0
3,3,Jasper Hester ,OH,0,0,0,0,,NED,SERVE,4,22,16024,0.0
4,5,Knollema Jolien ,OH,0,0,2,2,0.0,NED,SERVE,4,22,16024,0.0
5,10,van Aalen Sarah ,S,0,0,2,2,0.0,NED,SERVE,4,22,16024,0.0
6,13,de Haan Jolijn ,O,0,0,0,0,,NED,SERVE,4,22,16024,0.0
7,14,Dijkema Laura (C),S,0,0,0,0,,NED,SERVE,4,22,16024,0.0
8,16,Baijens Indy ,MB,0,2,0,2,-100.0,NED,SERVE,4,22,16024,0.0
9,17,Vos Iris ,OH,0,0,0,0,,NED,SERVE,4,22,16024,0.0
10,21,Stuut Britte ,MB,0,0,3,3,0.0,NED,SERVE,4,22,16024,0.0
11,24,Mulder Vera ,OH,0,0,4,4,0.0,NED,SERVE,4,22,16024,0.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,SERVE,4,22,16024,0.0
13,26,Dambrink Elles ,O,0,0,0,0,,NED,SERVE,4,22,16024,0.0
0,2,Degradi Alice Carlotta ,OH,2,2,6,10,0.0,ITA,SERVE,0,0,16026,
1,21,Omoruyi Oghosasere Loveth ,OH,2,0,18,20,10.0,ITA,SERVE,0,0,16026,
2,12,Mazzaro Alessia ,MB,1,1,21,23,0.0,ITA,SERVE,0,0,16026,
