,,Total Score,Match1,Match2,Match3,Match4,Match5
NED,NED,0:0,0:0,0:0,0:0,0:0,0:0
NED,POL,0:0,0:0,0:0,0:0,0:0,0:0
NED,SRB,0:0,0:0,0:0,0:0,0:0,0:0
NED,THA,0:0,0:0,0:0,0:0,0:0,0:0
NED,TUR,0:0,0:0,0:0,0:0,0:0,0:0
NED,USA,0:0,0:0,0:0,0:0,0:0,0:0
POL,BEL,0:0,0:0,0:0,0:0,0:0,0:0
POL,BRA,0:0,0:0,0:0,0:0,0:0,0:0
POL,BUL,1:3,25-22,13-25,17-25,22-25,-
POL,CAN,3:1,20-25,25-22,25-23,25-20,-
POL,CHN,0:3,8-25,23-25,20-25,-,-
POL,DOM,0:0,0:0,0:0,0:0,0:0,0:0
POL,GER,3:2,27-25,25-22,14-25,23-25,15-7
POL,ITA,0:0,0:0,0:0,0:0,0:0,0:0
POL,JPN,0:0,0:0,0:0,0:0,0:0,0:0
POL,KOR,0:0,0:0,0:0,0:0,0:0,0:0
POL,NED,0:0,0:0,0:0,0:0,0:0,0:0
POL,POL,0:0,0:0,0:0,0:0,0:0,0:0
POL,SRB,0:0,0:0,0:0,0:0,0:0,0:0
POL,THA,3:2,22-25,27-29,25-16,25-16,15-13
POL,TUR,0:0,0:0,0:0,0:0,0:0,0:0
POL,USA,0:3,12-25,21-25,16-25,-,-
SRB,BEL,0:0,0:0,0:0,0:0,0:0,0:0
SRB,BRA,1:3,25-14,18-25,24-26,19-25,-
SRB,BUL,3:0,26-24,25-15,26-24,-,-
SRB,CAN,3:1,25-20,25-14,20-25,25-22,-
SRB,CHN,0:0,0:0,0:0,0:0,0:0,0:0
SRB,DOM,0:0,0:0,0:0,0:0,0:0,0:0
SRB,GER,3:1,17-25,25-16,25-21,25-18,-
SRB,ITA,1:3,25-21,14-25,15-25,20-25,-
SRB,JPN,0:0,0:0,0:0,0:0,0:0,0:0
SRB,KOR,3:0,40-38,25-22,25-22,-,-
SRB,NED,3:2,27-25,25-16,17-25,22-25,15-13
SRB,POL,0:0,0:0,0:0,0:0,0:0,0:0
SRB,SRB,0:0,0:0,0:0,0:0,0:0,0:0
SRB,THA,0:0,0:0,0:0,0:0,0:0,0:0
SRB,TUR,3:2,25-19,15-25,20-25,25-22,15-13
SRB,USA,0:0,0:0,0:0,0:0,0:0,0:0
THA,BEL,2:3,22-25,25-18,25-23,21-25,13-15
THA,BRA,0:0,0:0,0:0,0:0,0:0,0:0
THA,BUL,3:0,25-20,25-22,25-20,-,-
THA,CAN,0:0,0:0,0:0,0:0,0:0,0:0
THA,CHN,3:2,25-23,13-25,14-25,25-23,15-11
THA,DOM,1:3,25-22,23-25,23-25,21-25,-
THA,GER,0:0,0:0,0:0,0:0,0:0,0:0
THA,ITA,0:3,20-25,14-25,14-25,-,-
THA,JPN,0:0,0:0,0:0,0:0,0:0,0:0
THA,KOR,3:0,25-11,25-22,25-17,-,-
THA,NED,0:0,0:0,0:0,0:0,0:0,0:0
THA,POL,0:0,0:0,0:0,0:0,0:0,0:0
THA,SRB,3:2,25-23,25-27,25-20,20-25,15-12
THA,THA,0:0,0:0,0:0,0:0,0:0,0:0
THA,TUR,0:0,0:0,0:0,0:0,0:0,0:0
THA,USA,1:3,25-17,13-25,23-25,18-25,-
TUR,BEL,3:1,15-25,25-21,25-21,25-15,-
