,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
9,26,Savic Vanja ,O,0,1,0,1,-100.00,SRB,BLOCK,2,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,2,25,11831,1
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,2,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,2,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,2,25,11831,1
0,3,Caric Sara ,O,2,0,0,2,100.00,SRB,BLOCK,3,23,11831,0
1,2,Lazovic Katarina (C),OH,1,2,0,3,-33.33,SRB,BLOCK,3,23,11831,0
2,22,Lozo Sara ,O,1,0,1,2,50.00,SRB,BLOCK,3,23,11831,0
3,24,Medic Sofija ,MB,1,1,2,4,0.00,SRB,BLOCK,3,23,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,3,23,11831,0
5,7,Jaksic Ana ,S,0,1,2,3,-33.33,SRB,BLOCK,3,23,11831,0
6,21,Kocic Jovana ,MB,0,3,1,4,-75.00,SRB,BLOCK,3,23,11831,0
7,23,Djordjevic Mila ,S,0,0,1,1,0.00,SRB,BLOCK,3,23,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,3,23,11831,0
9,26,Savic Vanja ,O,0,0,1,1,0.00,SRB,BLOCK,3,23,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,3,23,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,3,23,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,3,23,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,3,23,11831,0
0,21,Kocic Jovana ,MB,2,4,3,9,-22.22,SRB,BLOCK,4,25,11831,1
1,3,Caric Sara ,O,1,0,2,3,33.33,SRB,BLOCK,4,25,11831,1
2,24,Medic Sofija ,MB,1,0,3,4,25.00,SRB,BLOCK,4,25,11831,1
3,2,Lazovic Katarina (C),OH,0,1,1,2,-50.00,SRB,BLOCK,4,25,11831,1
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,4,25,11831,1
5,7,Jaksic Ana ,S,0,0,0,0,,SRB,BLOCK,4,25,11831,1
6,22,Lozo Sara ,O,0,0,1,1,0.00,SRB,BLOCK,4,25,11831,1
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,BLOCK,4,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,4,25,11831,1
9,26,Savic Vanja ,O,0,0,0,0,,SRB,BLOCK,4,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,4,25,11831,1
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,4,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,4,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,4,25,11831,1
0,21,Kocic Jovana ,MB,2,1,1,4,25.00,SRB,BLOCK,5,14,11831,0
1,24,Medic Sofija ,MB,1,0,1,2,50.00,SRB,BLOCK,5,14,11831,0
2,2,Lazovic Katarina (C),OH,0,0,1,1,0.00,SRB,BLOCK,5,14,11831,0
3,3,Caric Sara ,O,0,0,0,0,,SRB,BLOCK,5,14,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,5,14,11831,0
5,7,Jaksic Ana ,S,0,0,0,0,,SRB,BLOCK,5,14,11831,0
6,22,Lozo Sara ,O,0,0,0,0,,SRB,BLOCK,5,14,11831,0
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,BLOCK,5,14,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,5,14,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,BLOCK,5,14,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,5,14,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,5,14,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,5,14,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,5,14,11831,0
0,1,Kurogo Ai ,OH,3,5,2,10,-20.00,JPN,BLOCK,0,0,11833,
1,5,Araki Erika (C),MB,3,2,5,10,10.00,JPN,BLOCK,0,0,11833,
