num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
13808,3,KOR,0.0,12,4,7,7,8,4,9,0,1,3,0.382
13808,3,NED,1.0,18,2,6,3,19,3,6,1,0,2,0.353
13811,0,CHN,,35,9,21,24,30,10,17,8,3,5,0.208
13811,0,USA,,50,15,19,15,38,11,15,3,8,11,0.182
13811,1,CHN,0.0,12,2,8,11,11,1,4,5,0,1,0.174
13811,1,USA,1.0,16,6,5,6,17,3,1,0,5,2,0.184
13811,2,CHN,0.0,15,3,9,6,11,4,5,2,1,3,0.148
13811,2,USA,1.0,16,3,5,7,10,5,7,1,2,4,0.1
13811,3,CHN,0.0,8,4,4,7,8,5,8,1,2,1,0.296
13811,3,USA,1.0,18,6,9,2,11,3,7,2,1,5,0.258
13812,0,BRA,,40,15,52,14,45,7,28,0,1,4,0.216
13812,0,SRB,,32,27,19,13,36,15,25,1,0,5,0.184
13812,1,BRA,1.0,14,7,19,5,18,1,10,0,0,3,0.182
13812,1,SRB,0.0,11,8,8,5,20,5,7,0,0,2,0.122
13812,2,BRA,1.0,10,4,19,0,10,1,5,0,1,1,0.222
13812,2,SRB,0.0,4,12,2,4,3,3,10,1,0,2,0.212
13812,3,BRA,1.0,16,4,14,9,17,5,13,0,0,0,0.25
13812,3,SRB,0.0,17,7,9,4,13,7,8,0,0,1,0.225
13813,0,DOM,,51,18,42,11,38,16,21,6,1,14,0.151
13813,0,GER,,55,24,23,18,44,11,38,1,7,11,0.291
13813,1,DOM,1.0,15,6,10,3,10,2,5,0,1,4,0.125
13813,1,GER,0.0,11,6,3,6,7,4,10,1,1,2,0.345
13813,2,DOM,1.0,17,3,14,3,14,4,4,1,0,2,0.143
13813,2,GER,0.0,17,6,6,5,13,4,12,0,1,2,0.341
13813,3,DOM,0.0,4,4,4,1,2,7,4,4,0,2,0.278
13813,3,GER,1.0,14,4,6,0,9,0,4,0,4,3,0.19
13813,4,DOM,1.0,15,5,14,4,12,3,8,1,0,6,0.122
13813,4,GER,0.0,13,8,8,7,15,3,12,0,1,4,0.256
13814,0,KOR,,42,29,20,19,27,9,26,6,3,5,0.181
13814,0,TUR,,54,18,36,26,32,5,35,3,6,7,0.2
13814,1,KOR,1.0,17,7,9,5,14,1,10,0,2,3,0.178
13814,1,TUR,0.0,10,5,11,11,12,1,9,2,0,0,0.2
13814,2,KOR,0.0,8,6,1,2,2,1,6,3,0,1,0.136
13814,2,TUR,1.0,15,3,5,4,6,1,7,0,3,2,0.381
13814,3,KOR,0.0,10,6,7,7,9,3,3,1,1,1,0.108
13814,3,TUR,1.0,16,6,12,6,8,2,9,1,1,1,0.125
13814,4,KOR,0.0,7,10,3,5,2,4,7,2,0,0,0.348
13814,4,TUR,1.0,13,4,8,5,6,1,10,0,2,4,0.136
13816,0,THA,,47,20,23,22,65,15,21,5,3,4,0.173
13816,0,USA,,61,16,42,21,68,8,15,3,5,12,0.241
13816,1,THA,1.0,14,4,6,5,17,2,4,1,1,1,0.265
13816,1,USA,0.0,11,7,9,3,12,2,4,1,1,3,0.222
13816,2,THA,0.0,10,7,4,4,14,5,9,1,1,0,0.162
13816,2,USA,1.0,17,1,10,5,21,2,4,1,1,1,0.25
13816,3,THA,0.0,12,5,11,7,22,4,4,1,1,0,0.162
13816,3,USA,1.0,18,4,14,5,22,3,5,1,1,5,0.19
13816,4,THA,0.0,11,4,2,6,12,4,4,2,0,3,0.097
13816,4,USA,1.0,15,4,9,8,13,1,2,0,2,3,0.333
13817,0,CHN,,47,23,34,22,55,11,26,7,4,5,0.268
13817,0,JPN,,55,16,26,13,61,17,15,4,7,8,0.181
13817,1,CHN,1.0,14,8,15,4,14,2,8,1,2,1,0.273
13817,1,JPN,0.0,9,8,8,4,11,5,4,2,1,1,0.108
13817,2,CHN,0.0,11,5,4,5,13,5,6,3,1,2,0.296
13817,2,JPN,1.0,14,2,6,2,13,5,2,1,3,1,0.2
13817,3,CHN,0.0,14,2,8,11,13,3,6,2,1,0,0.3
13817,3,JPN,1.0,21,4,6,2,18,5,7,1,2,4,0.179
13817,4,CHN,0.0,8,8,7,2,15,1,6,1,0,2,0.212
13817,4,JPN,1.0,11,2,6,5,19,2,2,0,1,2,0.269
13818,0,GER,,48,23,21,22,44,8,13,3,5,7,0.16
13818,0,SRB,,59,18,24,16,47,8,17,5,3,9,0.147
13818,1,GER,1.0,16,2,8,5,10,4,1,0,2,1,0.24
13818,1,SRB,0.0,14,4,3,3,7,4,8,2,0,3,0.222
13818,2,GER,0.0,10,5,6,7,8,1,4,2,0,3,0.222
13818,2,SRB,1.0,15,2,9,4,11,2,3,0,2,4,0.167
13818,3,GER,0.0,12,11,5,5,15,2,5,0,2,2,0.179
13818,3,SRB,1.0,12,6,10,5,14,2,4,2,0,1,0.194
13818,4,GER,0.0,10,5,2,5,11,1,3,1,1,1,0.029
13818,4,SRB,1.0,18,6,2,4,15,0,2,1,1,1,0.029
13819,0,CAN,,56,18,18,14,28,6,25,5,6,12,0.0
13819,0,TUR,,51,18,12,23,31,2,38,4,5,7,0.0
13819,1,CAN,1.0,14,3,6,3,5,2,10,0,1,3,0.0
13819,1,TUR,0.0,15,6,2,8,7,0,7,1,0,2,0.0
13819,2,CAN,0.0,15,4,1,4,10,3,2,3,1,2,0.0
13819,2,TUR,1.0,13,2,2,4,12,1,9,1,3,2,0.0
13819,3,CAN,1.0,12,8,7,0,5,0,4,1,1,3,0.0
13819,3,TUR,0.0,9,7,7,5,5,0,12,0,1,2,0.0
13819,4,CAN,1.0,15,3,4,7,8,1,9,1,3,4,0.0
13819,4,TUR,0.0,14,3,1,6,7,1,10,2,1,1,0.0
13820,0,BRA,,72,26,28,19,53,12,22,3,3,12,0.277
13820,0,CHN,,60,22,29,31,60,10,22,3,3,5,0.268
13820,1,BRA,1.0,17,3,5,5,13,1,2,0,0,3,0.229
13820,1,CHN,0.0,13,6,5,7,13,2,6,0,0,2,0.167
13820,2,BRA,1.0,18,6,9,4,10,5,5,1,0,3,0.281
13820,2,CHN,0.0,12,4,6,11,11,1,8,0,1,1,0.344
13820,3,BRA,0.0,14,8,5,5,10,2,5,0,0,2,0.316
13820,3,CHN,1.0,15,4,7,3,19,5,2,0,0,0,0.188
13820,4,BRA,0.0,14,5,3,5,10,1,7,1,1,4,0.226
13820,4,CHN,1.0,15,4,4,6,10,2,4,1,1,2,0.259
13820,5,BRA,1.0,9,4,6,0,10,3,3,1,2,0,0.348
13820,5,CHN,0.0,5,4,7,4,7,0,2,2,1,0,0.471
13822,0,JPN,,77,23,10,14,48,15,50,3,5,8,0.128
13822,0,NED,,75,12,28,15,49,13,54,5,4,8,0.152
13822,1,JPN,1.0,19,5,1,2,11,2,11,1,3,4,0.128
13822,1,NED,0.0,13,1,2,5,7,2,12,3,1,2,0.139
13822,2,JPN,0.0,17,4,2,4,7,4,9,0,0,1,0.167
13822,2,NED,1.0,20,1,9,3,15,5,10,0,0,2,0.324
13822,3,JPN,1.0,17,4,3,0,10,4,11,0,1,2,0.146
13822,3,NED,0.0,16,7,8,3,9,2,14,1,1,1,0.105
13822,4,JPN,0.0,15,6,3,7,14,4,12,2,1,1,0.116
13822,4,NED,1.0,15,3,7,4,13,1,11,1,2,2,0.054
13822,5,JPN,0.0,9,4,1,1,6,1,7,0,0,0,0.043
13822,5,NED,1.0,11,0,2,0,5,3,7,0,0,1,0.15
13824,0,KOR,,33,27,12,12,26,1,18,1,1,8,0.954
13824,0,THA,,36,10,32,15,27,7,7,1,1,6,0.949
13824,1,KOR,0.0,6,12,4,3,6,0,8,0,0,3,0.923
13824,1,THA,1.0,8,5,13,3,13,1,2,0,0,0,0.947
13824,2,KOR,0.0,15,8,4,4,11,1,7,0,1,2,0.938
13824,2,THA,1.0,14,1,7,8,6,4,2,1,0,5,0.966
13824,3,KOR,0.0,12,7,4,5,9,0,3,1,0,3,1.0
13824,3,THA,1.0,14,4,12,4,8,2,3,0,1,1,0.933
13825,0,ITA,,62,19,31,19,51,11,14,4,4,18,0.961
