Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Degradi Alice Carlotta ,OH,3,2,5,10,10.0,ITA,ATTACK,2,25,16026,1.0
1,11,Danesi Anna ,MB,3,0,1,4,75.0,ITA,ATTACK,2,25,16026,1.0
2,21,Omoruyi Oghosasere Loveth ,OH,3,0,1,4,75.0,ITA,ATTACK,2,25,16026,1.0
3,15,Nwakalor Sylvia Chinelo ,O,1,1,2,4,0.0,ITA,ATTACK,2,25,16026,1.0
4,4,Bosio Francesca ,S,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
5,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
6,12,Mazzaro Alessia ,MB,0,0,2,2,0.0,ITA,ATTACK,2,25,16026,1.0
7,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,2,25,16026,1.0
0,32,Malual Adhuoljok John Majak ,O,4,1,4,9,33.33,ITA,ATTACK,3,27,16026,0.0
1,11,Danesi Anna ,MB,3,1,0,4,50.0,ITA,ATTACK,3,27,16026,0.0
2,12,Mazzaro Alessia ,MB,3,1,1,5,40.0,ITA,ATTACK,3,27,16026,0.0
3,2,Degradi Alice Carlotta ,OH,2,1,4,7,14.29,ITA,ATTACK,3,27,16026,0.0
